api_player_key,api_name,gender,api_matches,rank,sackmann_player_key,sackmann_name,sackmann_matches,score,method
men:api:1056,Andres Martin,men,26,1,men:sackmann:211346,Andres Martin,171,1.0,exact_normalized+country
men:api:1056,Andres Martin,men,26,2,men:sackmann:105413,Andrej Martin,111,0.970718,exact_initial_form+country_mismatch
men:api:1056,Andres Martin,men,26,3,men:sackmann:126533,Alvaro Lopez San Martin,67,0.90222,initial_surname+country_mismatch
men:api:2188,Arklon Huertas Del Pino Cordova,men,12,1,men:sackmann:207736,Arklon Huertas Del Pino,107,0.792015,fuzzy
men:api:2516,Jakub Nicod,men,6,1,men:sackmann:210083,Jakub Nicod,20,1.0,exact_normalized+country
men:api:2516,Jakub Nicod,men,6,2,men:sackmann:210556,Jakub Nicod,146,1.0,exact_normalized+country
men:api:56741,Xiaoyin Yang,men,4,1,men:sackmann:149162,Xiaoyin Yang,1,1.0,exact_normalized+country
men:api:56741,Xiaoyin Yang,men,4,2,men:sackmann:212466,Xiaoyin Yang,24,1.0,exact_normalized+country
men:api:5720,X. Zhou,men,2,1,men:sackmann:214277,Xiao Feng Zhou,1,0.921693,initial_surname+country
men:api:5720,X. Zhou,men,2,2,men:sackmann:207724,Xian Yao Zhou,4,0.915767,initial_surname+country_mismatch
men:api:61033,Timeo Trufelli,men,6,1,men:sackmann:212547,Timeo Trufelli ,1,1.0,exact_normalized+country
men:api:61033,Timeo Trufelli,men,6,2,men:sackmann:212770,Timeo Trufelli,23,1.0,exact_normalized+country
men:api:63406,K. S. Chen,men,4,1,men:sackmann:213769,Kuan Shou Chen,5,0.932519,initial_surname+country
men:api:63406,K. S. Chen,men,4,2,men:sackmann:208696,Kuan Yu Chen,7,0.930079,initial_surname+country
men:api:662,Bruno Kuzuhara,men,6,1,men:sackmann:210029,Bruno Kuzuhara,14,1.0,exact_normalized+country
men:api:662,Bruno Kuzuhara,men,6,2,men:sackmann:210044,Bruno Kuzuhara,209,1.0,exact_normalized+country
men:api:66839,Dar. Blanch,men,2,1,men:sackmann:209898,Dali Blanch,215,0.975375,exact_initial_form
men:api:66839,Dar. Blanch,men,2,2,men:sackmann:210464,Darwin Blanch,137,0.974927,exact_initial_form
men:api:68750,Jack Kennedy,men,8,1,men:sackmann:213194,Jack Kennedy,1,1.0,exact_normalized+country
men:api:68750,Jack Kennedy,men,8,2,men:sackmann:213605,Jack Kennedy,59,1.0,exact_normalized+country
men:api:83228,A. Aiukhanov,men,6,1,men:sackmann:213849,Artur Aiukhanov,3,0.971386,exact_initial_form
men:api:83228,A. Aiukhanov,men,6,2,men:sackmann:214590,Alan Aiukhanov,3,0.971386,exact_initial_form
men:api:83545,Jakub Vrba,men,4,1,men:sackmann:149107,Jakub Vrba ,1,1.0,exact_normalized+country
men:api:83545,Jakub Vrba,men,4,2,men:sackmann:213551,Jakub Vrba,5,1.0,exact_normalized+country
men:api:902,Jakub Mensik,men,11,1,men:sackmann:210084,Jakub Mensik,11,1.0,exact_normalized+country
men:api:902,Jakub Mensik,men,11,2,men:sackmann:210150,Jakub Mensik,212,1.0,exact_normalized+country
women:api:13071,Nana Kawagishi,women,2,1,women:sackmann:221771,Nana Kawagishi,101,1.0,exact_normalized+country
women:api:13071,Nana Kawagishi,women,2,2,women:sackmann:244078,Nana Kawagishi,38,1.0,exact_normalized+country
women:api:1358,Anne-Christine Lutkemeyer,women,11,1,women:sackmann:260042,Anne Christine Lutkemeyer Obregon,48,0.795581,fuzzy+country
women:api:15341,Amy Stevens,women,2,1,women:sackmann:264278,Alice Stevens,5,0.977792,exact_initial_form+country
women:api:15341,Amy Stevens,women,2,2,women:sackmann:265599,Alfee Stevens,1,0.976693,exact_initial_form+country
women:api:2578,Tara Wuerth,women,3,1,women:sackmann:223087,Tara Wurth,144,0.786691,fuzzy+country
women:api:38938,Maria Mikhaylova,women,8,1,women:sackmann:223153,Maria Mikhailova,112,0.769727,fuzzy
women:api:4112,Y. Kim,women,2,1,women:sackmann:263841,Yana Kim,10,0.978398,exact_initial_form+country
women:api:4112,Y. Kim,women,2,2,women:sackmann:264973,Yujin Kim,109,0.9707,exact_initial_form+country_mismatch
women:api:4112,Y. Kim,women,2,3,women:sackmann:222497,Youna Kim,8,0.968197,exact_initial_form+country_mismatch
women:api:4112,Y. Kim,women,2,4,women:sackmann:260191,Yelin Kim,1,0.966693,exact_initial_form+country_mismatch
women:api:4112,Y. Kim,women,2,5,women:sackmann:264005,Ye Eun Kim,17,0.920557,initial_surname+country_mismatch
women:api:4112,Y. Kim,women,2,6,women:sackmann:220669,Ye Jin Kim,8,0.919864,initial_surname+country_mismatch
women:api:4112,Y. Kim,women,2,7,women:sackmann:265008,Yeo Kyung Kim,2,0.907654,initial_surname+country_mismatch
