api_player_key,api_name,gender,api_matches,status,best_score,best_method,best_sackmann_key,best_sackmann_name,second_score_margin,api_name_sources,api_levels,api_surfaces
men:api:101032,S. Azam,men,3,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 3}","{""grand_slam"": 3}","{""clay"": 3}"
men:api:102651,M. Bekeni,men,4,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 4}","{""challenger"": 2, ""itf"": 2}","{""clay"": 4}"
men:api:10295,Sanhui Shin,men,5,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 5}","{""itf"": 4, ""qualifying"": 1}","{""hard"": 4, ""unknown"": 1}"
men:api:102953,G. L. Zajc,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:102954,N. M. Becirovic,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:102960,L. Soares,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
men:api:102985,X. Massotte,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""grand_slam"": 1}","{""clay"": 1}"
men:api:102986,M. Vukovic,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""grand_slam"": 1}","{""clay"": 1}"
men:api:102987,T. Kawaguchi,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""grand_slam"": 1}","{""clay"": 1}"
men:api:102989,E. Giurescu,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""grand_slam"": 1}","{""clay"": 1}"
men:api:102990,A. Dubreuil,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""grand_slam"": 1}","{""clay"": 1}"
men:api:102991,C. Thies,men,4,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 4}","{""grand_slam"": 3, ""itf"": 1}","{""clay"": 4}"
men:api:102992,N. Raghuram,men,2,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 2}","{""grand_slam"": 2}","{""clay"": 2}"
men:api:103005,B. Moxon,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""challenger"": 1}","{""grass"": 1}"
men:api:103006,N. Bartolucci,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""challenger"": 1}","{""clay"": 1}"
men:api:103050,K. Akkocaoglu,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""challenger"": 1}","{""clay"": 1}"
men:api:103296,R. Valetov,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103306,M. Liszka,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103415,M. Lorincik,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""challenger"": 1}","{""clay"": 1}"
men:api:103450,J. Fabre,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""challenger"": 1}","{""clay"": 1}"
men:api:103493,A. Baybars,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
men:api:103608,Y. Baluska,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103609,T. Miranda,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
men:api:103642,G. Pistoia,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103669,J. Cunha,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103670,M. Henrique,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103671,H. Nelson,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
men:api:103704,Y. C. Yang,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
men:api:103731,D. Yigin,men,2,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 2}","{""itf"": 2}","{""clay"": 2}"
men:api:103737,A. Tiutchenko,men,2,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 2}","{""itf"": 2}","{""clay"": 2}"
men:api:103753,L. Klaus,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103754,P. Hermoso,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
men:api:103757,A. G. Torres,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103758,L. G. Felisberto,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103853,F. Busciola,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103860,J. McGloughlin,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""qualifying"": 1}","{""grass"": 1}"
men:api:103861,L. Tombolini,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""challenger"": 1}","{""clay"": 1}"
men:api:103862,J. Coudret,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""challenger"": 1}","{""clay"": 1}"
men:api:103877,S. Okabe,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
men:api:103886,E. M. Garay,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103889,B. S. Takacs,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:103890,A. Kothari,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
men:api:104007,A. Hunziker,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:104063,R. Cruz,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
men:api:104108,I. M. Stoica,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:104109,A. C. Badea L.,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:104110,-. I. Morega D.,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:104120,M. Ristov,men,2,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 2}","{""itf"": 2}","{""clay"": 2}"
men:api:104133,B. Stecker,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:104134,I. D. Mokan,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:104141,M. Greschner,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
men:api:104161,A. Brignacca,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:104246,A. Tolev,men,2,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 2}","{""qualifying"": 2}","{""clay"": 2}"
men:api:104247,A. Ganchev,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""qualifying"": 1}","{""clay"": 1}"
men:api:104263,L. Mouffe,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:104271,F. Czyrek,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:104363,E. Lage,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
men:api:104378,F. Bullamah,men,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""challenger"": 1}","{""clay"": 1}"
