api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,reason
men:api:4694,4694,Nicolas Barrientos,api_cache_full_name,men,missing_mapping_entry,2,Cezar Cretu | Adrian Andreescu Stefan,Cezar Cretu | Adrian Andreescu Stefan,Targu Mures,Targu Mures,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:104198,104198,A. Ganchev,api_cache_short_name,men,missing_mapping_entry,1,Peter Fajta,Peter Fajta,Plovdiv (Bulgaria) - Qualification,Plovdiv (Bulgaria) - Qualification,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:104199,104199,A. Tolev,api_cache_short_name,men,missing_mapping_entry,1,Prajwal Dev S D,Prajwal Dev S D,Plovdiv (Bulgaria) - Qualification,Plovdiv (Bulgaria) - Qualification,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:775,775,Adil Kalyanpur,api_cache_full_name,men,missing_mapping_entry,1,Sebastian Gima,Sebastian Gima,Targu Mures,Targu Mures,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:3224,3224,Ajeet Rai,api_cache_full_name,men,missing_mapping_entry,1,Nicolae Cazacu Dragos,Nicolae Cazacu Dragos,Plovdiv (Bulgaria) - Qualification,Plovdiv (Bulgaria) - Qualification,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:96147,96147,Andre Souza Pinto de Camargo e Silva,api_cache_full_name,men,missing_mapping_entry,1,Rafael Tosetto,Rafael Tosetto,Piracicaba,Piracicaba,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:55174,55174,Daniel Uta,api_cache_full_name,men,missing_mapping_entry,1,Mihai Papoe Radu,Mihai Papoe Radu,Targu Mures,Targu Mures,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:79642,79642,Fares Zakaria,api_cache_full_name,men,unmapped,1,John Fancutt Thomas,John Fancutt Thomas,Plovdiv (Bulgaria) - Qualification,Plovdiv (Bulgaria) - Qualification,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:93923,93923,Henrique Ortenblad Nogueira,api_cache_full_name,men,missing_mapping_entry,1,Thiago Cigarran,Thiago Cigarran,Piracicaba,Piracicaba,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:1857,1857,John Fancutt Thomas,api_cache_full_name,men,unmapped,1,Fares Zakaria,Fares Zakaria,Plovdiv (Bulgaria) - Qualification,Plovdiv (Bulgaria) - Qualification,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:57484,57484,Lucas Andrade da Silva,api_cache_full_name,men,missing_mapping_entry,1,Hugo Remondy Pagotto Victor,Hugo Remondy Pagotto Victor,Piracicaba,Piracicaba,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:77365,77365,Maximilian Borisov,api_cache_full_name,men,missing_mapping_entry,1,Imanol Lopez Morillo,Imanol Lopez Morillo,Plovdiv (Bulgaria) - Qualification,Plovdiv (Bulgaria) - Qualification,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:14638,14638,Nikita Mashtakov,api_cache_full_name,men,unmapped,1,Andrej Nedic,Andrej Nedic,M25 Samobor (Croatia),M25 Samobor (Croatia),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:67510,67510,P. Rodrigues Longobardi,api_cache_short_name,men,missing_mapping_entry,1,Gustavo Ribeiro de Almeida,Gustavo Ribeiro de Almeida,Piracicaba,Piracicaba,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
